,home with,business meeting with,gym/sport with,party with,outdoor with,school/office with,meetup with friends & family with,club or bar with,home without,business meeting without,gym/sport without,party without,outdoor without,school/office without,meetup with friends & family without,club or bar without
17,0.3333333333333333,1.0,1.0,0.7714285714285715,0.625,0.0,0.9999999999999999,1.0,0.5,0.8999999999999999,0.19999999999999996,0.5,0.15000000000000002,0.0,,0.7142857142857143
18,0.23809523809523803,1.0,0.9999999999999999,0.8999999999999999,0.9999999999999999,1.0,,0.11111111111111105,0.45,1.0,0.0,0.65,0.7,0.65,,0.0
19,1.0,1.0,0.5238095238095238,1.0,0.6875,0.9444444444444443,,1.0,1.0,0.8857142857142857,0.7,0.65,1.0,0.12499999999999989,,0.5
20,0.9999999999999999,0.7333333333333333,0.7777777777777778,1.0,1.0,1.0,,0.0,0.30000000000000004,0.5714285714285714,0.75,1.0,0.25,0.8392857142857144,,0.7714285714285715
21,0.9999999999999999,0.3333333333333333,1.0,1.0,0.875,0.8888888888888888,,0.6666666666666666,0.25,0.7,0.8999999999999999,1.0,1.0,0.7,,0.8999999999999999
22,0.055555555555555525,1.0,1.0,0.08571428571428563,0.625,1.0,,0.6666666666666666,0.4,0.75,0.6,0.75,0.35,0.5,,
23,0.6666666666666666,1.0,1.0,0.0,0.625,1.0,,1.0,0.8999999999999999,1.0,0.5,0.4,0.7,,,
24,1.0,0.8666666666666665,0.5238095238095238,0.95,1.0,0.6666666666666666,,1.0,0.75,1.0,0.75,0.7,1.0,,,
25,0.38888888888888884,0.26666666666666666,0.5555555555555556,1.0,0.625,1.0,,1.0,1.0,0.8999999999999999,0.8999999999999999,1.0,1.0,,,
26,0.0,1.0,0.8888888888888888,0.75,0.6875,,,1.0,1.0,1.0,,0.0,0.7142857142857143,,,
27,0.8888888888888888,0.7999999999999999,0.16666666666666669,0.1547619047619047,1.0,,,1.0,0.4,0.7,,0.37142857142857144,0.8,,,
28,1.0,1.0,0.0,1.0,0.5357142857142857,,,1.0,0.625,0.7,,0.10000000000000003,0.8999999999999999,,,
29,1.0,0.26666666666666666,0.6825396825396826,1.0,1.0,,,0.7777777777777777,0.7142857142857143,0.6213093709884467,,0.8999999999999999,0.8999999999999999,,,
30,0.6190476190476191,0.9333333333333331,0.4444444444444444,0.35,0.875,,,0.9999999999999999,0.25,0.9142857142857144,,0.6,0.4,,,
31,0.8333333333333333,1.0,,1.0,1.0,,,0.873015873015873,0.7,1.0,,1.0,0.0,,,
32,1.0,1.0,,0.85,0.8125,,,1.0,0.19999999999999996,0.42857142857142855,,0.4857142857142857,0.8999999999999999,,,
33,1.0,1.0,,0.057142857142857106,1.0,,,,0.7,0.19999999999999996,,0.5428571428571428,1.0,,,
34,0.9682539682539683,0.8666666666666665,,1.0,1.0,,,,0.30000000000000004,0.0,,0.8,0.3142857142857143,,,
35,1.0,0.0,,1.0,1.0,,,,0.7,0.7,,0.0,0.7142857142857143,,,
36,0.2222222222222222,0.4126984126984127,,,1.0,,,,0.75,0.8999999999999999,,0.30000000000000004,0.5119047619047619,,,
37,0.11111111111111105,0.06666666666666671,,,1.0,,,,1.0,0.4,,0.5,0.85,,,
